,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active,Serious/Critical,Cases/million,Deaths/million,Total Tests,Tests/million
Albania,"134,487",+286,"2,460 ",,"130,503",+33,"1,524",3,"46,789",856,"944,079","328,454"
Mozambique,"134,343",,"1,641 ",,"108,516",,"24,186",32,"4,170",51,"784,167","24,338"
Botswana,"130,771",,"1,832 ",,"111,411",,"17,528",1,"54,396",762,"1,542,739","641,729"
Namibia,"121,603",+96,"3,226 ",+22,"104,858","+2,983","13,519",39,"46,920","1,245","630,083","243,114"
Zimbabwe,"117,258",,"3,950 ",,"91,499",,"21,809",12,"7,764",262,"1,155,029","76,482"
Finland,"114,281",+844,984 ,,"46,000",,"67,297",16,"20,590",177,"6,105,369","1,100,016"
Ghana,"109,022",+345,892 ,+12,"101,365",+490,"6,765",36,"3,430",28,"1,497,628","47,112"
Cyprus,"107,485",+484,452 ,+5,"90,755",,"16,278",85,"88,313",371,"9,366,973","7,696,229"
Montenegro,"104,613",+349,"1,639 ",+2,"99,844",+143,"3,130",6,"166,540","2,609","541,770","862,480"
Uganda,"96,067",+112,"2,821 ",+9,"92,549",+701,697,599,"2,030",60,"1,507,848","31,857"
El Salvador,"89,826",,"2,749 ",+7,"77,635",,"9,442",126,"13,772",421,"1,167,868","179,054"
Cambodia,"83,384",+486,"1,614 ",+12,"77,754",+717,"4,016",,"4,912",95,"1,913,330","112,717"
Cameroon,"82,064",,"1,334 ",,"80,433",,297,152,"3,009",49,"1,751,774","64,228"
Maldives,"78,690",+112,222 ,,"76,135",+357,"2,333",11,"142,798",403,"1,237,315","2,245,344"
Rwanda,"77,235",,911 ,,"45,016",,"31,308",41,"5,804",68,"2,177,611","163,654"
Luxembourg,"74,498",+61,827 ,+2,"72,886",+89,785,6,"116,909","1,298","3,337,712","5,237,861"
Senegal,"68,920",+572,"1,545 ",+19,"52,014",+448,"15,361",63,"4,000",90,"684,511","39,727"
Singapore,"65,953",+63,43 ,+1,"64,293",+141,"1,617",8,"11,176",7,"16,614,807","2,815,469"
Malawi,"56,952",+378,"1,895 ",+21,"41,903",+411,"13,154",285,"2,895",96,"362,089","18,404"
Jamaica,"55,790",+334,"1,254 ",+13,"47,333",+28,"7,203",35,"18,750",421,"511,947","172,055"
DRC,"52,432",+76,"1,050 ",+2,"30,380",+191,"21,002",,566,11,"288,803","3,120"
Ivory Coast,"51,548",,347 ,,"50,335",,866,,"1,902",13,"818,804","30,216"
Angola,"43,890",,"1,057 ",,"40,663",,"2,170",8,"1,291",31,"821,071","24,155"
Madagascar,"42,791",+4,949 ,+1,"42,475",+11,-633,22,"1,503",33,"231,966","8,146"
Trinidad and Tobago,"40,574",,"1,144 ",,"33,539",,"5,891",22,"28,888",815,"283,910","202,142"
Réunion,"40,245",,288 ,,"35,563",,"4,394",45,"44,599",319,"103,924","115,166"
Fiji,"38,414",+568,340 ,+13,"13,598",+664,"24,476",40,"42,511",376,"342,250","378,748"
Australia,"37,378",+365,945 ,+2,"30,735",,"5,698",70,"1,447",37,"27,030,993","1,046,615"
Sudan,"37,138",,"2,776 ",,"30,867",,"3,495",,826,62,"234,414","5,212"
Malta,"35,040",+87,429 ,+1,"33,407",+137,"1,204",3,"79,125",969,"1,126,370","2,543,486"
Cabo Verde,"34,171",+59,298 ,,"33,371",+21,502,23,"60,731",530,"201,440","358,010"
Eswatini,"33,565",+767,896 ,+7,"24,763",+454,"7,906",10,"28,604",764,"276,867","235,943"
French Guiana,"31,276",,195 ,,"9,995",,"21,086",26,"101,805",635,"334,426","1,088,570"
Mauritania,"28,724",,616 ,,"24,526",,"3,582",16,"6,004",129,"397,083","82,996"
Guinea,"27,311",+199,266 ,+3,"24,916",+78,"2,129",24,"2,019",20,"511,159","37,793"
Martinique,"27,255",,166 ,,104,,"26,985",1,"72,691",443,"268,763","716,810"
Syria,"26,136",,"1,924 ",,"22,068",,"2,144",,"1,454",107,"103,566","5,763"
Suriname,"26,103",,669  ,,"22,366",,"3,068",22,"44,060","1,129","94,306","159,180"
Gabon,"25,487",,165 ,,"25,279",,43,8,"11,161",72,"1,012,275","443,269"
French Polynesia,"24,977",,176 ,,"20,932",,"3,869",26,"88,350",623,"26,355","93,224"
Guadeloupe,"23,821",,247 ,,"2,250",,"21,324",23,"59,523",617,"275,414","688,191"
Guyana,"22,992",,561 ,,"21,637",,794,19,"29,076",709,"235,511","297,831"
Haiti,"20,507",+74,576 ,+4,"15,659",+235,"4,272",,"1,775",50,"103,443","8,951"
Mayotte,"19,546",,175 ,,"2,964",,"16,407",,"69,789",625,"176,919","631,687"
Seychelles,"18,714",,98 ,,"18,161",,455,,"188,990",990,"21,504","217,166"
Papua New Guinea,"17,780",+2,192 ,,"17,434",+17,154,7,"1,947",21,"148,646","16,274"
Togo,"17,104",,161 ,,"15,035",,"1,908",,"2,014",19,"422,486","49,747"
Somalia,"16,039",,863 ,,"7,815",,"7,361",,979,53,"176,909","10,799"
Bahamas,"15,915",,308 ,,"12,942",,"2,665",15,"40,048",775,"124,335","312,870"
Taiwan,"15,814",+16,816 ,+2,"14,365",+8,633,,663,34,"4,225,300","177,054"
Tajikistan,"15,792",,123 ,,"15,352",,317,,"1,616",13,,
Andorra,"14,891",+18,129 ,,"14,560",+25,202,,"192,385","1,667","193,595","2,501,163"
Mali,"14,652",,534 ,,"13,998",,120,,701,26,"355,491","17,015"
Belize,"14,578",,341 ,,"13,726",,511,5,"35,942",841,"194,029","478,376"
Curaçao,"14,210",,132 ,,"13,504",,574,4,"86,207",801,"200,922","1,218,921"
Lesotho,"13,845",,391 ,,"6,702",,"6,752",,"6,407",181,"140,799","65,153"
Burkina Faso,"13,632",+6,170 ,+1,"13,411",+4,51,,633,8,"206,152","9,573"
Congo,"13,293",,179 ,,"12,421",,693,,"2,345",32,"188,207","33,206"
Aruba,"12,636",,111 ,,"11,651",,874,14,"117,798","1,035","177,885","1,658,323"
Hong Kong,"12,021",+1,212 ,,"11,731",+3,78,,"1,589",28,"21,390,075","2,827,772"
Timor-Leste,"11,870",+153,29 ,,"10,169",+25,"1,672",,"8,818",22,"95,473","70,922"
Djibouti,"11,669",+6,156 ,,"11,503",+4,10,,"11,624",155,"197,299","196,537"
CAR,"11,195",,98 ,,"6,859",,"4,238",2,"2,274",20,"60,228","12,235"
South Sudan,"11,141",+2,120 ,,"10,514",,507,,983,11,"174,045","15,349"
Nicaragua,"10,251",,197 ,,"4,225",,"5,829",,"1,527",29,,
Channel Islands,"9,729",,91 ,,"9,077",,561,,"55,393",518,"749,920","4,269,740"
Laos,"9,161",+285,8 ,,"4,240",,"4,913",,"1,239",1,"335,044","45,324"
Iceland,"9,126",+170,30 ,,"7,720",+161,"1,376",29,"26,553",87,"902,336","2,625,405"
Benin,"9,065",,113 ,,"8,136",,816,5,727,9,"604,310","48,449"
Equatorial Guinea,"8,951",,123 ,,"8,757",,71,1,"6,157",85,"182,355","125,441"
Burundi,"8,800",,38 ,,773,,"7,989",,717,3,"345,742","28,153"
Gambia,"8,603",,242 ,,"7,536",,825,3,"3,453",97,"100,338","40,273"
Yemen,"7,213",+15,"1,392 ",+1,"4,410",+19,"1,411",23,236,46,"179,491","5,875"
Eritrea,"6,593",+4,36 ,,"6,514",+16,43,,"1,831",10,"23,693","6,580"
Sierra Leone,"6,324",+6,121 ,,"4,324",+5,"1,879",,775,15,"160,729","19,707"
Saint Lucia,"5,949",,92 ,,"5,476",,381,3,"32,234",498,"61,407","332,728"
Niger,"5,697",,196 ,,"5,416",,85,,226,8,"134,005","5,324"
